name,muscle_group,equipment,description,image_path
Bench Press,Chest,Barbell,Classic chest building exercise,
Squat,Legs,Barbell,Compound leg exercise,
Deadlift,Back,Barbell,Full body compound exercise,
Overhead Press,Shoulders,Barbell,Shoulder and tricep builder,
Barbell Row,Back,Barbell,Upper back and lat exercise,
Pull Up,Back,Bodyweight,Vertical pulling exercise,
Push Up,Chest,Bodyweight,Bodyweight chest exercise,
Dumbbell Curl,Biceps,Dumbbell,Bicep isolation,
Tricep Dips,Triceps,Bodyweight,Tricep compound exercise,
Leg Press,Legs,Machine,Quad dominant leg exercise,
Lat Pulldown,Back,Cable,Vertical pulling movement,
Cable Fly,Chest,Cable,Chest isolation exercise,
Plank,Abs,Bodyweight,Core stability exercise,
Crunches,Abs,Bodyweight,Abdominal exercise,
Running,Cardio,Bodyweight,Cardiovascular endurance,
Cycling,Cardio,Machine,Low impact cardio,
